"a";"bold";"NI";"7";"9"
"ä";"bold";"O";"7";"9"
"à";"bold";"A";"8";"9"
"á";"bold";"B";"7";"9"
"â";"bold";"O";"6";"9"
"ã";"bold";"C";"7";"9"
"b";"bold";"E";"7";"9"
"c";"bold";"NL";"4";"8"
"ç";"bold";"N";"4";"8"
"d";"bold";"NI";"6";"9"
"e";"bold";"NI";"4";"8"
"ë";"bold";"O";"4";"8"
"é";"bold";"B";"4";"8"
"è";"bold";"L";"4";"8"
"ê";"bold";"M";"4";"8"
"f";"bold";"NI";"2";"6"
"g";"bold";"E";"5";"9"
"h";"bold";"F";"5";"9"
"i";"bold";"NL";"1";"5"
"ì";"bold";"M";"1";"5"
"í";"bold";"L";"1";"5"
"ï";"bold";"N";"1";"5"
"î";"bold";"O";"1";"5"
"j";"bold";"NI";"1";"5"
"k";"bold";"M";"8";"10"
"l";"bold";"A";"1";"5"
"m";"bold";"NI";"13";"14"
"n";"bold";"A";"7";"9"
"ñ";"bold";"H";"7";"9"
"o";"bold";"NI";"5";"9"
"ó";"bold";"I";"7";"9"
"ò";"bold";"J";"7";"9"
"ö";"bold";"K";"7";"9"
"ô";"bold";"L";"7";"9"
"p";"bold";"A";"6";"9"
"q";"bold";"NL";"5";"9"
"r";"bold";"NI";"3";"7"
"s";"bold";"NL";"3";"7"
"t";"bold";"NL";"2";"6"
"u";"bold";"NL";"7";"9"
"ü";"bold";"F";"7";"9"
"ù";"bold";"NL";"6";"9"
"ú";"bold";"D";"7";"9"
"û";"bold";"F";"6";"9"
"v";"bold";"A";"4";"8"
"w";"bold";"NL";"11";"12"
"x";"bold";"N";"8";"10"
"y";"bold";"A";"5";"9"
"z";"bold";"K";"4";"8"
"A";"bold";"NI";"12";"13"
"Ä";"bold";"E";"12";"13"
"Ã";"bold";"C";"12";"13"
"Á";"bold";"F";"12";"13"
"B";"bold";"L";"11";"12"
"C";"bold";"NL";"12";"13"
"Ç";"bold";"L";"12";"13"
"D";"bold";"B";"13";"14"
"E";"bold";"NI";"11";"12"
"É";"bold";"M";"11";"12"
"È";"bold";"K";"11";"12"
"Ê";"bold";"D";"11";"12"
"Ë";"bold";"H";"11";"12"
"F";"bold";"A";"10";"11"
"G";"bold";"O";"13";"14"
"H";"bold";"NL";"14";"15"
"I";"bold";"A";"3";"7"
"Ï";"bold";"B";"3";"7"
"Í";"bold";"C";"3";"7"
"J";"bold";"L";"8";"10"
"K";"bold";"B";"12";"13"
"L";"bold";"N";"11";"12"
"M";"bold";"NL";"15";"18"
"N";"bold";"A";"13";"14"
"Ñ";"bold";"N";"13";"14"
"O";"bold";"NI";"14";"15"
"Ó";"bold";"I";"14";"15"
"Ö";"bold";"G";"14";"15"
"Ô";"bold";"H";"14";"15"
"Õ";"bold";"J";"14";"15"
"P";"bold";"A";"11";"12"
"Q";"bold";"A";"14";"15"
"R";"bold";"A";"12";"13"
"S";"bold";"NL";"10";"11"
"T";"bold";"O";"11";"12"
"U";"bold";"NL";"13";"14"
"Ü";"bold";"D";"13";"14"
"Ú";"bold";"M";"13";"14"
"V";"bold";"H";"12";"13"
"W";"bold";"B";"15";"18"
"X";"bold";"J";"12";"13"
"Y";"bold";"K";"12";"13"
"Z";"bold";"I";"12";"13"
"1";"bold";"H";"5";"9"
"2";"bold";"G";"6";"9"
"3";"bold";"G";"7";"9"
"4";"bold";"K";"5";"9"
"5";"bold";"L";"5";"9"
"6";"bold";"M";"5";"9"
"7";"bold";"L";"6";"9"
"8";"bold";"M";"6";"9"
"9";"bold";"M";"7";"9"
"0";"bold";"N";"7";"9"
"[";"bold";"I";"2";"6"
"]";"bold";"J";"2";"6"
"(";"bold";"K";"2";"6"
")";"bold";"L";"2";"6"
":";"bold";"M";"3";"7"
";";"bold";"N";"3";"7"
"!";"bold";"O";"3";"6"
"&";"bold";"C";"15";"18"
"?";"bold";"B";"8";"9"
"-";"bold";"M";"2";"7"
"—";"bold";"M";"15";"18"
".";"bold";"B";"1";"6"
",";"bold";"C";"1";"6"
"'";"bold";"N";"2";"5"
"«";"bold";"A";"9";"6"
"»";"bold";"K";"9";"6"
"£";"bold";"O";"8";"10"
"ae";"bold";"C";"10";"11"
"oe";"bold";"B";"10";"11"
"ff";"bold";"NI";"10";"11"
"fi";"bold";"L";"9";"10"
"fl";"bold";"M";"9";"10"
"ffi";"bold";"B";"14";"15"
"ffl";"bold";"C";"14";"15"
"AE";"bold";"J";"15";"18"
"OE";"bold";"G";"15";"18"
" ";"";"G";"1"
" ";"";"G";"2"
" ";"";"G";"3"
" ";"";"G";"5"
" ";"";"O";"15"
"_";"";"H";"1"
"_";"";"H";"2"
"_";"";"H";"3"
"_";"";"H";"4"
"_";"";"I";"5"
"_";"";"H";"8"
"_";"";"G";"10"
"_";"";"G";"11"
"_";"";"G";"12"
"_";"";"F";"13"
"_";"";"F";"14"
"_";"";"F";"15"
