"Char";"Styles";"Coordinates";"Units"
"/";"r";"NI1";"5"
"]";"r";"NL1";"5"
"i";"i";"A1";"5"
".";"r";"B1";"5"
",";"r";"C1";"5"
"'";"r";"D1";"5"
"j";"r";"E1";"5"
"i";"r";"F1";"5"
" ";"";"G1";"5"
"l";"r";"H1";"5"
"ê";"i";"I1";"6"
"'";"i";"J1";"5"
"'";"i";"K1";"5"
"j";"i";"L1";"5"
"l";"i";"M1";"5"
"`";"r";"N1";"5"
"_";"";"O1";"5"
"[";"r";"NI2";"5"
"î";"r";"NL2";"5"
"c";"i";"A2";"6"
"s";"i";"B2";"6"
"f";"i";"C2";"6"
"t";"i";"D2";"6"
"-";"r";"E2";"6"
"f";"r";"F2";"6"
" ";"";"G2";"6"
"t";"r";"H2";"6"
"e";"i";"I2";"6"
"(";"r";"J2";"6"
")";"r";"K2";"6"
"ë";"i";"L2";"6"
"!";"r";"M2";"5"
"i";"s";"N2";"6"
";";"r";"O2";"5"
"(";"i";"NI3";"7"
"<<";"r";"NL3";"8"
"J";"i";"A3";"7"
"v";"i";"B3";"7"
"y";"i";"C3";"7"
"g";"i";"D3";"7"
"r";"i";"E3";"7"
"o";"i";"F3";"7"
"r";"r";"G3";"7"
"s";"r";"H3";"7"
"I";"r";"I3";"7"
":";"rs";"J3";"5"
"j";"s";"K3";"7"
"s";"s";"L3";"7"
":";"i";"M3";"7"
";";"i";"N3";"7"
"ë";"r";"O3";"8"
",,";"r";"NI4";"8"
"p";"s";"NL4";"8"
"I";"i";"A4";"8"
"q";"i";"B4";"8"
"b";"i";"C4";"8"
"d";"i";"D4";"8"
"h";"i";"E4";"8"
"n";"i";"F4";"8"
"a";"i";"G4";"8"
"u";"i";"H4";"8"
"a";"r";"I4";"8"
"e";"r";"J4";"8"
"c";"r";"K4";"8"
"z";"r";"L4";"8"
"ë";"r";"M4";"8"
"è";"r";"N4";"8"
"é";"r";"O4";"8"
"";"";"NI5";"9"
"b";"s";"NL5";"9"
"l";"s";"A5";"9"
"e";"s";"B5";"9"
"?";"i";"C5";"9"
"!";"i";"D5";"9"
"ij";"i";"E5";"9"
"p";"i";"F5";"9"
" ";"";"G5";"9"
"J";"r";"H5";"9"
"3";"ris";"I5";"9"
"6";"ris";"J5";"9"
"9";"ris";"K5";"9"
"5";"ris";"L5";"9"
"8";"ris";"M5";"9"
"à";"r";"N5";"8"
"á";"r";"O5";"8"
"â";"r";"NI6";"8"
"f";"s";"NL6";"9"
"t";"s";"A6";"9"
"z";"s";"B6";"9"
"fi";"i";"C6";"9"
"fl";"i";"D6";"9"
"z";"i";"E6";"9"
"?";"rs";"F6";"9"
"x";"r";"G6";"9"
"y";"r";"H6";"9"
"7";"ris";"I6";"9"
"4";"ris";"J6";"9"
"1";"ris";"K6";"9"
"0";"ris";"L6";"9"
"2";"ris";"M6";"9"
"st";"i";"N6";"10"
"--";"rislu";"O6";"9"
"oe!";"i";"NI7";"10"
"q";"s";"NL7";"10"
"u";"s";"A7";"10"
"o";"s";"B7";"10"
"S";"i";"C7";"10"
"k";"i";"D7";"10"
"q";"r";"E7";"10"
"h";"r";"F7";"10"
"p";"r";"G7";"10"
"g";"r";"H7";"10"
"ij";"r";"I7";"10"
"b";"r";"J7";"10"
"ff";"r";"K7";"10"
"fl";"r";"L7";"10"
"fi";"r";"M7";"10"
"fj";"r";"N7";"10"
"x";"s";"O7";"10"
"ö";"r";"NI8";"10"
"[";"i";"NL8";"10"
"r";"s";"A8";"10"
"a";"s";"B8";"10"
"ff";"i";"C8";"10"
"S";"r";"D8";"10"
"v";"r";"E8";"10"
"k";"r";"F8";"10"
"u";"r";"G8";"10"
"n";"r";"H8";"10"
"o";"r";"I8";"10"
"d";"r";"J8";"10"
"y";"s";"K8";"10"
"û";"r";"L8";"10"
"ó";"r";"M8";"10"
"ô";"r";"N8";"10"
"ù";"r";"O8";"10"
">>";"i";"NI9";"11"
"<<";"i";"NL9";"11"
"v";"s";"A9";"11"
"c";"s";"B9";"11"
"w";"i";"C9";"11"
"x";"i";"D9";"11"
"F";"r";"E9";"11"
"P";"r";"F9";"11"
"k";"s";"G9";"11"
"d";"s";"H9";"11"
"g";"s";"I9";"11"
"n";"s";"J9";"11"
"fi";"i";"K9";"11"
"ae";"";"L9";"11"
