"# character; style1, style2...; column; row; unit-value"
"a";"roman";"H";"9";"9"
"ą";"roman";"K";"9";"9"
"b";"roman";"E";"11";"10"
"c";"roman";"I";"5";"8"
"ć";"roman";"J";"5";"8"
"d";"roman";"H";"10";"10"
"e";"roman";"G";"6";"8"
"ę";"roman";"K";"5";"8"
"f";"roman";"F";"3";"6"
"g";"roman";"F";"9";"9"
"h";"roman";"K";"10";"10"
"i";"roman";"H";"2";"5"
"j";"roman";"I";"2";"5"
"k";"roman";"L";"10";"10"
"l";"roman";"J";"2";"5"
"ł";"roman";"K";"2";"5"
"m";"roman";"G";"14";"15"
"n";"roman";"F";"10";"10"
"ń";"roman";"N";"9";"10"
"o";"roman";"B";"9";"10"
"ó";"roman";"L";"9";"10"
"p";"roman";"J";"10";"10"
"q";"roman";"C";"10";"10"
"r";"roman";"E";"4";"7"
"s";"roman";"F";"4";"7"
"ś";"roman";"H";"4";"7"
"t";"roman";"L";"2";"6"
"u";"roman";"G";"9";"10"
"v";"roman";"E";"9";"9"
"w";"roman";"N";"12";"13"
"x";"roman";"J";"9";"9"
"y";"roman";"I";"9";"9"
"z";"roman";"H";"5";"8"
"ź";"roman";"N";"5";"8"
"ż";"roman";"M";"5";"8"
"A";"roman";"G";"13";"14"
"Ą";"roman";"L";"13";"14"
"B";"roman";"H";"11";"12"
"C";"roman";"K";"12";"13"
"Ć";"roman";"NL";"12";"13"
"D";"roman";"B";"14";"15"
"E";"roman";"K";"11";"12"
"Ę";"roman";"C";"12";"12"
"F";"roman";"J";"12";"12"
"G";"roman";"C";"14";"15"
"H";"roman";"I";"14";"15"
"I";"roman";"E";"3";"7"
"J";"roman";"F";"5";"8"
"K";"roman";"J";"14";"15"
"L";"roman";"I";"12";"12"
"Ł";"roman";"B";"12";"12"
"M";"roman";"G";"15";"18"
"N";"roman";"F";"14";"15"
"Ń";"roman";"K";"14";"15"
"O";"roman";"F";"13";"14"
"P";"roman";"D";"10";"11"
"Q";"roman";"J";"13";"14"
